Time,Channel A,Channel B
(ms),(mV),(V)

5.51874414,129.18480000,1.00424200
5.52130414,129.18480000,1.00424200
5.52386414,124.72910000,1.00424200
5.52642414,129.18480000,1.00424200
5.52898414,124.72910000,1.00424200
5.53154414,124.72910000,0.98629720
5.53410414,124.72910000,1.00424200
5.53666414,124.72910000,0.98629720
5.53922414,124.72910000,1.00424200
5.54178414,115.81770000,1.00424200
5.54434414,124.72910000,1.00424200
5.54690414,120.27340000,1.00424200
5.54946414,124.72910000,1.00424200
5.55202414,120.27340000,1.00424200
5.55458414,120.27340000,1.00424200
5.55714414,115.81770000,1.00424200
5.55970414,115.81770000,1.00424200
5.56226414,120.27340000,1.00424200
5.56482414,115.81770000,1.00424200
5.56738414,120.27340000,1.00424200
5.56994414,115.81770000,1.00424200
5.57250414,115.81770000,1.00424200
5.57506414,106.90630000,1.00424200
5.57762414,106.90630000,1.00424200
5.58018414,115.81770000,1.00424200
5.58274414,106.90630000,1.00424200
5.58530414,111.36200000,1.00424200
5.58786414,111.36200000,1.00424200
5.59042414,111.36200000,1.00424200
5.59298414,102.46590000,1.00424200
5.59554414,106.90630000,0.98629720
5.59810414,106.90630000,1.00424200
5.60066414,102.46590000,0.98629720
5.60322414,106.90630000,1.00424200
5.60578414,102.46590000,0.98629720
5.60834414,102.46590000,1.00424200
5.61090414,98.01019000,1.00424200
5.61346414,102.46590000,1.00424200
5.61602414,98.01019000,1.00424200
5.61858414,102.46590000,1.00424200
5.62114414,102.46590000,1.00424200
5.62370414,98.01019000,1.00424200
5.62626414,93.55448000,1.00424200
5.62882414,93.55448000,1.00424200
5.63138414,98.01019000,1.00424200
5.63394414,102.46590000,1.00424200
5.63650414,111.36200000,1.00424200
5.63906414,102.46590000,1.00424200
5.64162414,93.55448000,1.00424200
5.64418414,93.55448000,1.00424200
5.64674414,93.55448000,1.00424200
5.64930414,102.46590000,1.00424200
5.65186414,106.90630000,1.00424200
5.65442414,106.90630000,1.00424200
5.65698414,89.09879000,1.00424200
5.65954414,89.09879000,1.00424200
5.66210414,93.55448000,1.00424200
5.66466414,102.46590000,1.00424200
5.66722414,111.36200000,1.00424200
5.66978414,93.55448000,1.00424200
5.67234414,84.64308000,1.00424200
5.67490414,89.09879000,1.00424200
5.67746414,98.01019000,1.00424200
5.68002414,102.46590000,1.00424200
5.68258414,106.90630000,1.00424200
5.68514414,89.09879000,1.00424200
5.68770414,80.18738000,1.00424200
5.69026414,89.09879000,1.00424200
5.69282414,93.55448000,1.00424200
5.69538414,106.90630000,1.00424200
5.69794414,102.46590000,1.00424200
5.70050414,89.09879000,0.98629720
5.70306414,80.18738000,1.00424200
5.70562414,89.09879000,1.00424200
5.70818414,93.55448000,1.00424200
5.71074414,102.46590000,1.00424200
5.71330414,98.01019000,1.00424200
5.71586414,80.18738000,1.00424200
5.71842414,84.64308000,1.00424200
5.72098414,89.09879000,1.00424200
5.72354414,102.46590000,1.00424200
5.72610414,102.46590000,1.00424200
5.72866414,84.64308000,1.00424200
5.73122414,75.73167000,1.00424200
5.73378414,84.64308000,1.00424200
5.73634414,98.01019000,1.00424200
5.73890414,102.46590000,1.00424200
5.74146414,89.09879000,1.00424200
5.74402414,75.73167000,1.00424200
5.74658414,84.64308000,1.00424200
5.74914414,89.09879000,1.00424200
5.75170414,102.46590000,1.00424200
5.75426414,93.55448000,1.00424200
5.75682414,71.27598000,0.98629720
5.75938414,75.73167000,1.00424200
5.76194414,84.64308000,1.00424200
5.76450414,98.01019000,1.00424200
5.76706414,89.09879000,1.00424200
5.76962414,75.73167000,1.00424200
5.77218414,71.27598000,1.00424200
5.77474414,75.73167000,0.98629720
5.77730414,93.55448000,1.00424200
5.77986414,93.55448000,1.00424200
5.78242414,75.73167000,1.00424200
5.78498414,66.82027000,1.00424200
5.78754414,75.73167000,1.00424200
5.79010414,89.09879000,1.00424200
5.79266414,93.55448000,1.00424200
5.79522414,71.27598000,1.00424200
5.79778414,62.36457000,1.00424200
5.80034414,75.73167000,1.00424200
5.80290414,89.09879000,1.00424200
5.80546414,89.09879000,1.00424200
5.80802414,62.36457000,1.00424200
5.81058414,62.36457000,1.00424200
5.81314414,71.27598000,1.00424200
5.81570414,89.09879000,1.00424200
5.81826414,80.18738000,1.00424200
5.82082414,57.90887000,1.00424200
5.82338414,62.36457000,1.00424200
5.82594414,71.27598000,1.00424200
5.82850414,89.09879000,0.98629720
5.83106414,71.27598000,1.00424200
5.83362414,53.46843000,1.00424200
5.83618414,57.90887000,1.00424200
5.83874414,75.73167000,1.00424200
5.84130414,89.09879000,1.00424200
5.84386414,66.82027000,0.98629720
5.84642414,53.46843000,1.00424200
5.84898414,57.90887000,1.00424200
5.85154414,75.73167000,1.00424200
5.85410414,80.18738000,1.00424200
5.85666414,57.90887000,0.98629720
5.85922414,40.10132000,1.00424200
5.86178414,53.46843000,1.00424200
5.86434414,75.73167000,1.00424200
5.86690414,75.73167000,0.98629720
5.86946414,53.46843000,1.00424200
5.87202414,40.10132000,1.00424200
5.87458414,57.90887000,1.00424200
5.87714414,71.27598000,1.00424200
5.87970414,75.73167000,1.00424200
5.88226414,53.46843000,1.00424200
5.88482414,40.10132000,1.00424200
5.88738414,57.90887000,1.00424200
5.88994414,66.82027000,1.00424200
5.89250414,75.73167000,1.00424200
5.89506414,57.90887000,1.00424200
5.89762414,44.55702000,1.00424200
5.90018414,53.46843000,1.00424200
5.90274414,66.82027000,0.98629720
5.90530414,75.73167000,1.00424200
5.90786414,62.36457000,1.00424200
5.91042414,44.55702000,1.00424200
5.91298414,44.55702000,0.98629720
5.91554414,62.36457000,1.00424200
5.91810414,71.27598000,1.00424200
5.92066414,71.27598000,1.00424200
5.92322414,49.01273000,1.00424200
5.92578414,40.10132000,0.98629720
5.92834414,53.46843000,1.00424200
5.93090414,57.90887000,1.00424200
5.93346414,71.27598000,1.00424200
5.93602414,57.90887000,1.00424200
5.93858414,44.55702000,1.00424200
